Group,Subject,Target,File,fs,thr,active_ratio,active_seconds
Healthy,12,2,Target 2.csv,1923.0769230774633,1.0181440990355945e-06,0.976202084502378,55.1823999999845
Healthy,12,2,Target 2.csv,1923.0769230774633,1.0181440990355945e-06,0.976202084502378,55.1823999999845
Healthy,12,3,Target 3.csv,1923.0769230774633,7.171562545843969e-08,0.9782442712980765,55.29783999998447
Healthy,12,3,Target 3.csv,1923.0769230774633,7.171562545843969e-08,0.9782442712980765,55.29783999998447
Healthy,12,4,Target 4.csv,1923.0769230774633,2.324466778328438e-07,0.9768368182361762,55.21827999998449
Healthy,12,4,Target 4.csv,1923.0769230774633,2.324466778328438e-07,0.9768368182361762,55.21827999998449
Healthy,12,5,Target 5.csv,1923.0769230774633,1.548073734042061e-07,0.9769840028701003,55.22659999998449
Healthy,12,5,Target 5.csv,1923.0769230774633,1.548073734042061e-07,0.9769840028701003,55.22659999998449
Healthy,12,6,Target 6.csv,1923.0769230774633,1.6492698457287253e-06,0.976064098908074,55.1745999999845
Healthy,12,6,Target 6.csv,1923.0769230774633,1.6492698457287253e-06,0.976064098908074,55.1745999999845
Healthy,12,7,Target 7.csv,1923.0769230774633,1.4940078716908901e-06,0.9760824969873145,55.1756399999845
Healthy,12,7,Target 7.csv,1923.0769230774633,1.4940078716908901e-06,0.9760824969873145,55.1756399999845
Healthy,12,8,Target 8.csv,1923.0769230774633,7.749249860367903e-08,0.9777659212378228,55.270799999984476
Healthy,12,8,Target 8.csv,1923.0769230774633,7.749249860367903e-08,0.9777659212378228,55.270799999984476
Healthy,12,9,Target 9.csv,1923.0769230774633,1.541334724766158e-06,0.9756041469270608,55.148599999984505
Healthy,12,9,Target 9.csv,1923.0769230774633,1.541334724766158e-06,0.9756041469270608,55.148599999984505
Healthy,2,1,Target 1.csv,1923.0769230774633,2.98255230222185e-07,0.9779407029906078,55.28067999998447
Healthy,2,1,Target 1.csv,1923.0769230774633,2.98255230222185e-07,0.9779407029906078,55.28067999998447
Healthy,2,2,Target 2.csv,1923.0769230774633,1.621821152597198e-07,0.9763584681759224,55.1912399999845
Healthy,2,2,Target 2.csv,1923.0769230774633,1.621821152597198e-07,0.9763584681759224,55.1912399999845
Healthy,2,3,Target 3.csv,1923.0769230774633,8.711416107875274e-07,0.975751331560985,55.1569199999845
Healthy,2,3,Target 3.csv,1923.0769230774633,8.711416107875274e-07,0.975751331560985,55.1569199999845
Healthy,2,4,Target 4.csv,1923.0769230774633,1.5998646630456812e-07,0.9765700460871884,55.20319999998449
Healthy,2,4,Target 4.csv,1923.0769230774633,1.5998646630456812e-07,0.9765700460871884,55.20319999998449
Healthy,2,5,Target 5.csv,1923.0769230774633,3.078682864467272e-07,0.9772323769398474,55.24063999998448
Healthy,2,5,Target 5.csv,1923.0769230774633,3.078682864467272e-07,0.9772323769398474,55.24063999998448
Healthy,2,6,Target 6.csv,1923.0769230774633,1.5151525928869418e-06,0.9772599740587082,55.24219999998448
Healthy,2,6,Target 6.csv,1923.0769230774633,1.5151525928869418e-06,0.9772599740587082,55.24219999998448
Healthy,2,7,Target 7.csv,1923.0769230774633,7.175929008339101e-08,0.9768092211173154,55.21671999998449
Healthy,2,7,Target 7.csv,1923.0769230774633,7.175929008339101e-08,0.9768092211173154,55.21671999998449
Healthy,2,8,Target 8.csv,1923.0769230774633,9.059624997032443e-07,0.9774347558114933,55.25207999998448
Healthy,2,8,Target 8.csv,1923.0769230774633,9.059624997032443e-07,0.9774347558114933,55.25207999998448
